课程编号,课程名称,任课教授,授课方式,上课学期,Expected Letter Grade,教授Office Hour,教授口齿清晰程度,课程作业量,课程阅读量,作业难度,考试难度,Lecture Recording,Lecture Attendance,有无Discussion Session,Extra Credit,教授授课水平,详细评价/建议：
ECO 330T,The evolution of econ thought,Wayne Geerling,In person,2023 Fall,B,1,1,2,4,2,5,否,是,否,是,1,教授有很强的澳洲口音，考试是些essay，全靠理解
HS 301,Intro to Health and Society,"Steph Osbakken, Ph D",In person,2023 Fall,N/A 不好说,5,5,3,4,4,3,是,是,否,是,5,很好的课。Health and Society的必修专业课，作为一门社科课，对公共卫生有兴趣的可以参加。总体阅读量有一点但是读起来不会很枯燥。教授很愿意记学生的名字和office hour交流，虽然是大课但是上课的时候和学生交流频率很高。
MUS-307,Jazz appreciation,Sailors,In person,2023 Fall,95,3,4,2,1,1,1,是,是,否,否,4,轻松水课
ECO 320L,Macroeconomic Theory,Andreas Mueller,In person,2023 Spring,A,3,1,2,1,1,1,否,否,是，不记考勤,否,5,"工作量很小的一门宏观，2 problem sets, 2 midterms, 1 final。有课本但不会强制阅读，作业只会在midterm前due。教授讲课非常好，上课认真听就不会有问题。强烈推荐！"
ECO 353M,Empirical public Economics,David ,In person,2023 Fall,A,3,5,2,2,2,2,是,否,否,否,4,好，很好，非常好
ECO441K,Introduction to Econometrics,"Xu, Haiqing ",In person,2023 Fall,A,3,2,2,1,2,2,是,否,否,否,3,挺好的，会一点基本的数据知识就比较简单
ANT307,Anthropology,Slotta,In person,2023 Fall,90,2,4,4,4,4,3,是,否,是，记考勤,否,2,要读很多很多很多文章。。
PSY 352P,Psychopathology,Dr. Caryn Carlson & Dr. Chris Beevers,Online,2023 Fall,A/A-,2,5,4,4,3,4,是,否,否,否,5,"挺好的课，讲得蛮清楚的。考试是open book open note, 好好看lecture和reading没太大问题。"
ECO320L,Macroeconomic Theory,Stephano Eusepi,In person,2023 Fall,A,2,3,1,1,2,2,是,否,否,否,2,听讲课不如看ppt
ECO 371M,Outside the market,Thomas Wiseman,In person,2023 Spring,A➕,2,5,1,2,2,2,否,否,否,否,5,上课听讲，再就看看书，没有难度
ECO 354K,Introductory Game Theory,Caroline D Thomas,In person,2023 Spring,A,5,2,3,1,4,5,否,否,是，不记考勤,否,3,教授是法式英音，语速也很快，上课听讲有一定压力。如果说有什么能力对这门课最重要，那就是聪明。思维和反应速度要快，否则考试做不完的，作业也会很痛苦。基本不涉及经济知识（除了expected utility），数学需要基本的概率论和微积分，然后就是靠脑子了。这门课推荐硕博想读经济/应数的同学上。
ANS 392C,introduction to china,Chiu-Mi Lai,In person,2023 Fall,B,3,4,3,3,4,4,是,否,否,否,3,不建议上 grading is a myth 我用了第一个pass and fail的机会
Eco304k,Econ,Dr. Fourmy,In person,2023 Fall,,1,3,4,3,3,3,是,是,否,是,3,挺好的
J610D,Japanese,Duffey,In person,2023 Fall,,3,5,2,1,2,3,否,是,否,否,4,非常好， 学日语的同学就选Duffey 先生
